TimeOfStop,SubAgency,Description,VehicleType,ViolationType,Race,Gender,ArrestType
14,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
23,1st district Rockville,SPEEDING,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
21,4th district Wheaton,LICENSE OR REGISTRATION RELATED,05 - Light Duty Truck,Citation,HISPANIC,M,A - Marked Patrol
9,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
19,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
15,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
22,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,01 - Motorcycle,Citation,BLACK,F,A - Marked Patrol
10,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
15,4th district Wheaton,MINOR INFRACTION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
12,1st district Rockville,PLATE VIOLATION,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
15,4th district Wheaton,SPEEDING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
19,6th district Gaithersburg / Montgomery Village,SPEEDING,05 - Light Duty Truck,Citation,WHITE,M,Q - Marked Laser
2,5th district Germantown,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
10,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,01 - Motorcycle,Citation,OTHER,M,A - Marked Patrol
22,6th district Gaithersburg / Montgomery Village,RECKLESS DRIVING,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
0,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
0,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
16,1st district Rockville,PEDESTRIAN INFRACTION,28 - Other,Citation,WHITE,M,A - Marked Patrol
18,1st district Rockville,PLATE VIOLATION,02 - Automobile,Citation,ASIAN,M,A - Marked Patrol
0,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
23,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
13,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
11,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
23,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
0,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
0,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
19,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
10,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
0,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
0,6th district Gaithersburg / Montgomery Village,LEARNING DRIVER WITHOUT SUPERVISION,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
15,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
16,4th district Wheaton,SPEEDING,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
17,3rd district Silver Spring,SPEEDING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
3,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
0,2nd district Bethesda,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
13,4th district Wheaton,SPEEDING,02 - Automobile,Warning,WHITE,F,Q - Marked Laser
9,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,05 - Light Duty Truck,Citation,HISPANIC,M,A - Marked Patrol
2,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
14,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
23,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
2,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
2,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
2,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
9,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
2,6th district Gaithersburg / Montgomery Village,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
8,2nd district Bethesda,DISOBEY TRAFFIC CONTROL,05 - Light Duty Truck,Citation,HISPANIC,M,A - Marked Patrol
10,4th district Wheaton,PLATE VIOLATION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
21,4th district Wheaton,RECKLESS DRIVING,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
1,2nd district Bethesda,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,ASIAN,M,A - Marked Patrol
22,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
0,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
23,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
16,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
15,4th district Wheaton,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
7,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
2,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
0,4th district Wheaton,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
10,5th district Germantown,MINOR INFRACTION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
11,2nd district Bethesda,PHONE RELATED,05 - Light Duty Truck,Citation,WHITE,F,A - Marked Patrol
7,2nd district Bethesda,SPEEDING,02 - Automobile,Citation,OTHER,F,Q - Marked Laser
8,6th district Gaithersburg / Montgomery Village,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,ASIAN,M,A - Marked Patrol
8,2nd district Bethesda,SPEEDING,02 - Automobile,Citation,WHITE,M,Q - Marked Laser
8,2nd district Bethesda,SPEEDING,02 - Automobile,Citation,BLACK,M,Q - Marked Laser
8,2nd district Bethesda,SPEEDING,02 - Automobile,Citation,OTHER,M,Q - Marked Laser
1,2nd district Bethesda,MINOR INFRACTION,02 - Automobile,Citation,OTHER,M,A - Marked Patrol
11,2nd district Bethesda,RECKLESS DRIVING,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
2,5th district Germantown,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
3,6th district Gaithersburg / Montgomery Village,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
0,2nd district Bethesda,MINOR INFRACTION,02 - Automobile,Citation,ASIAN,M,A - Marked Patrol
6,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
7,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
7,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,OTHER,U,A - Marked Patrol
7,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
7,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,OTHER,U,A - Marked Patrol
22,3rd district Silver Spring,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
7,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
22,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
11,4th district Wheaton,MINOR INFRACTION,02 - Automobile,Citation,ASIAN,M,A - Marked Patrol
23,4th district Wheaton,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
10,4th district Wheaton,RECKLESS DRIVING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
7,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
0,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
9,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
18,2nd district Bethesda,SPEEDING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
8,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
8,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,OTHER,F,A - Marked Patrol
18,4th district Wheaton,RECKLESS DRIVING,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
0,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
8,3rd district Silver Spring,MINOR INFRACTION,01 - Motorcycle,Citation,BLACK,M,A - Marked Patrol
8,3rd district Silver Spring,RECKLESS DRIVING,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
10,1st district Rockville,ACCIDENT RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
10,6th district Gaithersburg / Montgomery Village,SPEEDING,02 - Automobile,Citation,BLACK,M,Q - Marked Laser
15,6th district Gaithersburg / Montgomery Village,ACCIDENT RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
20,4th district Wheaton,DISOBEY TRAFFIC CONTROL,06 - Heavy Duty Truck,Citation,HISPANIC,M,A - Marked Patrol
11,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
18,3rd district Silver Spring,PLATE VIOLATION,28 - Other,Citation,HISPANIC,M,A - Marked Patrol
12,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
17,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
21,3rd district Silver Spring,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
8,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
8,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,OTHER,U,A - Marked Patrol
22,4th district Wheaton,MINOR INFRACTION,02 - Automobile,Citation,ASIAN,M,A - Marked Patrol
15,3rd district Silver Spring,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
18,2nd district Bethesda,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
3,2nd district Bethesda,IMPAIRED BY DRUGS OR ALCOHOL,01 - Motorcycle,Citation,WHITE,M,A - Marked Patrol
10,4th district Wheaton,PHONE RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
